company,ticker,category,subcategory,metric,entity,as_of_date,value,unit,status,importance,credit_impact,source_name,source_file,source_page_or_section,source_url,notes
"Coherus Oncology, Inc.",CHRS,Market,Unmet Need,Treatment landscape / unmet need positioning,LOQTORZI (toripalimab-tpzi),2025-12-31,Only FDA-approved immunotherapy available in U.S. for NPC,text,Reported,High,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - LOQTORZI Opportunity (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company: 'the only immunotherapy approved by the FDA for the treatment of NPC that is available in the United States.' High unmet need + sole availability is the franchise's core commercial support."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Regulatory,FDA approval date,LOQTORZI (toripalimab-tpzi),2023-10-27,2023-10-27,date,Reported,Medium,Positive,FDA,n/a,FDA - Approves toripalimab-tpzi for NPC,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"First FDA-approved therapy for RM-NPC; first China-developed PD-1 approved in the U.S."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Regulatory,Approved indications,LOQTORZI (toripalimab-tpzi),2023-10-27,1L in combination + monotherapy after platinum chemo,text,Reported,High,Positive,FDA; Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,FDA approval notice; 10-K Item 1 (p.5),https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"Label: (1) with cisplatin + gemcitabine for first-line metastatic or recurrent locally advanced NPC; (2) as a single agent for recurrent unresectable or metastatic NPC progressing on/after platinum chemotherapy. All-lines coverage is a differentiator."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Regulatory,Treatment line,LOQTORZI (toripalimab-tpzi),2023-10-27,First-line and second-line-plus,text,Reported,High,Positive,FDA,n/a,FDA approval notice,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"Approved across all lines of therapy for RM-NPC (1L combo; 2L+ monotherapy)."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Clinical,Mechanism of action,LOQTORZI (toripalimab-tpzi),2025-12-31,Anti-PD-1 monoclonal antibody,text,Reported,Medium,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - Overview (p.5),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Next-generation PD-1 inhibitor; binds the FG loop of PD-1, blocking PD-L1 and PD-L2 at a unique site. Same class as Keytruda/Opdivo."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Dosing,Dosing - combination (1L),LOQTORZI (toripalimab-tpzi),2023-10-27,240 mg IV every 3 weeks up to 24 months,dose schedule,Reported,Medium,Neutral,FDA label; VA drug monograph,n/a,FDA prescribing info; VA National Drug Monograph (Sep 2024),https://www.va.gov/formularyadvisor/DOC_PDF/MON_Toripalimab_LOQTORZI_Monograph_Nasopharyngeal_Carcinoma_Sep_2024.pdf,"Fixed 240 mg q3w with cisplatin/gemcitabine, continued until progression/toxicity or up to 24 months (1L). Fixed dosing simplifies buy-and-bill economics."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Dosing,Dosing - monotherapy (2L+),LOQTORZI (toripalimab-tpzi),2023-10-27,3 mg/kg IV every 2 weeks,dose schedule,Reported,Medium,Neutral,FDA label; VA drug monograph,n/a,FDA prescribing info; VA National Drug Monograph (Sep 2024),https://www.va.gov/formularyadvisor/DOC_PDF/MON_Toripalimab_LOQTORZI_Monograph_Nasopharyngeal_Carcinoma_Sep_2024.pdf,"Weight-based 3 mg/kg q2w as monotherapy until progression/unacceptable toxicity."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Pricing,List price / WAC per vial,LOQTORZI (toripalimab-tpzi),2024-01-02,8892.03,USD per single-use vial,Reported,High,Positive,FiercePharma (Coherus launch pricing),n/a,Coherus launch WAC coverage,https://www.fiercepharma.com/marketing/coherus-prices-china-made-pd-1-drug-loqtorzi-20-discount-mercks-keytruda,"Launch WAC $8,892.03 per 240 mg single-use vial. Premium specialty pricing supports revenue per patient; subject to Junshi royalty and IRA/pricing pressure."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Pricing,Price positioning vs Keytruda,LOQTORZI (toripalimab-tpzi),2024-01-02,~20% discount to Keytruda triweekly ($8892 vs $11115),text,Reported,Medium,Neutral,FiercePharma,n/a,Coherus launch WAC coverage,https://www.fiercepharma.com/marketing/coherus-prices-china-made-pd-1-drug-loqtorzi-20-discount-mercks-keytruda,"Priced ~20% below Keytruda's $11,115.04 triweekly price. Value positioning aids access/formulary placement but sets a lower per-dose ceiling."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Pricing,Estimated annual per-patient cost (derived),LOQTORZI (toripalimab-tpzi),2024-01-02,~154000,USD per patient per year,Calculated,Medium,Neutral,Derived from WAC x dosing frequency,n/a,"Calc: $8,892.03/vial x ~17.3 doses/yr",https://www.fiercepharma.com/marketing/coherus-prices-china-made-pd-1-drug-loqtorzi-20-discount-mercks-keytruda,"Calculated: $8,892.03 x (52/3) ~= $154,000/yr at combination q3w dosing (1 vial/dose); 1L therapy capped at 24 months. Not a company-stated figure."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Clinical,Efficacy - JUPITER-02 (1L combination),LOQTORZI (toripalimab-tpzi),2023-10-27,PFS 11.7 vs 8.0 mo (HR 0.52); OS HR 0.63,months / hazard ratio,Reported,High,Positive,FDA; Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,FDA approval notice; 10-K Item 1 (p.7),https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"JUPITER-02 (n=289): median PFS 11.7 vs 8.0 mo, HR 0.52 (95% CI 0.36-0.74), p=0.0003; OS HR 0.63 (0.45-0.89), p=0.0083. 2025 6-yr follow-up: median OS 64.8 vs 33.7 mo (HR 0.62). Strong, durable survival benefit."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Clinical,Efficacy - POLARIS-02 (monotherapy),LOQTORZI (toripalimab-tpzi),2023-10-27,ORR 21%; median DOR 14.9 mo,percent / months,Reported,Medium,Positive,FDA,n/a,FDA approval notice,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"POLARIS-02 (n=172 previously treated): ORR 21% (95% CI 15-28), median DOR 14.9 mo. Supports monotherapy label in later lines."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Safety,Safety profile,LOQTORZI (toripalimab-tpzi),2023-10-27,Immune-mediated AEs; common nausea/vomiting/hypothyroidism/rash,text,Reported,Medium,Neutral,FDA label,n/a,FDA prescribing info,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"Common AEs (>=20%): nausea, vomiting, hypothyroidism, rash (combination). Immune-mediated risks: pneumonitis, colitis, hepatitis, endocrinopathies, nephritis, skin reactions. Class-typical checkpoint-inhibitor safety."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Commercial,U.S. commercial launch date,LOQTORZI (toripalimab-tpzi),2024-01-02,2024-01-02,date,Reported,Medium,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1. Business - Overview (p.5),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company announced U.S. launch January 2, 2024; ~2 years of commercial history as of the FY2025 10-K."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Commercial,Net product revenue - FY2025,LOQTORZI (toripalimab-tpzi),2025-12-31,40.8,USD millions,Reported,High,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,MD&A - Results of Operations (p.66-67),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"$40.836M net product revenue in FY2025, all U.S. Only commercial product; sole revenue engine for debt service."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Commercial,Net product revenue - FY2024,LOQTORZI (toripalimab-tpzi),2024-12-31,19.1,USD millions,Reported,Medium,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,MD&A - Results of Operations (p.66-67),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"$19.131M in FY2024 (first launch year). +$21.7M / ~113% YoY growth into FY2025."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Commercial,Net product revenue - Q1 2026,LOQTORZI (toripalimab-tpzi),2026-03-31,11.8,USD millions,Reported,High,Positive,Coherus Q1 2026 earnings release,02_Earnings/releases/2026-05-11_CHRS_ER_Q1-2026.pdf,LOQTORZI Commercial Updates,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,"Q1 2026 net revenue $11.8M, +61% vs $7.3M in Q1 2025 but -5% vs $12.4M in Q4 2025. Continued YoY growth; monitor sequential softness."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Commercial,Sequential revenue trend (Q4 2025 -> Q1 2026),LOQTORZI (toripalimab-tpzi),2026-03-31,-5% QoQ,percent,Reported,Medium,Negative,Coherus Q1 2026 earnings release,02_Earnings/releases/2026-05-11_CHRS_ER_Q1-2026.pdf,LOQTORZI Commercial Updates,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,"Sequential decline from $12.4M (Q4 2025) to $11.8M (Q1 2026). Small-base quarterly volatility; a watch item for the growth thesis given single-product reliance."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Adoption,NCCN guideline status,LOQTORZI (toripalimab-tpzi),2024-11-26,Only preferred category-1 1L option; only preferred subsequent-line option,text,Reported,High,Positive,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,"Item 1. Business - Overview (p.5,7)",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"NCCN added LOQTORZI as preferred category-1 1L (Dec 2023); Nov 2024 update names it the only preferred category-1 1L option and only preferred subsequent-line option. Strong adoption tailwind and payer-coverage anchor."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Adoption,Customer/distribution concentration,LOQTORZI (toripalimab-tpzi),2025-12-31,~99% via 3 wholesalers,percent,Reported,Medium,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 (p.8); Note 2 Revenue (p.91),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"~99% of FY2025 LOQTORZI revenue via McKesson (43%), Cencora (36%), Cardinal Health (20%). Typical specialty-distribution concentration; adds counterparty concentration risk."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Supply/License,Junshi royalty on net sales,LOQTORZI (toripalimab-tpzi),2025-12-31,Low-twenty-percent range,percent of net sales,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Collaboration and License Agreements (p.8-9),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Coherus in-licensed U.S./Canada rights from Junshi Biosciences; royalty in the low-20s% of LOQTORZI net sales. Meaningful gross-margin drag on the sole revenue stream. Accrued royalty $4.7M at 12/31/2025."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Supply/License,Junshi milestone obligations,LOQTORZI (toripalimab-tpzi),2025-12-31,Up to 380,USD millions,Reported,Medium,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 / Risk Factors (p.23),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Up to $380M aggregate milestones ($90M regulatory + $290M sales) to Junshi; $25M paid through Jan 2025. Contingent cash calls, mostly sales-triggered."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Supply/License,Manufacturing/supply dependence,LOQTORZI (toripalimab-tpzi),2025-12-31,Single-source supply from Junshi (China),text,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Risk Factors (p.32); Overview (p.5),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Junshi supplies drug substance and finished product; single-source foreign (China) supply chain. Company is pursuing U.S. onshoring. Exposure to supply disruption and pharmaceutical-tariff risk."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Orphan drug designation (NPC),LOQTORZI (toripalimab-tpzi),2020-05-18,Designated and approved for NPC,text,Reported,High,Positive,FDA Office of Orphan Products Development,n/a,FDA OOPD orphan designation record,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=738620,"FDA orphan drug designation for treatment of NPC, designated 2020-05-18, status Designated/Approved. Grants 7-year orphan exclusivity from approval."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Orphan exclusivity expiry (derived),LOQTORZI (toripalimab-tpzi),2030-10-27,2030-10-27,date,Calculated,High,Positive,Derived from approval date + 7-yr orphan term,n/a,FDA OOPD record + FDA approval date,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=738620,"Calculated: 7-year orphan exclusivity from approval 2023-10-27 = 2030-10-27. Blocks same-drug/same-indication approval; runs ~17 months past the 2029 term-loan maturity."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,BLA reference-product exclusivity expiry (derived),LOQTORZI (toripalimab-tpzi),2035-10-27,2035-10-27,date,Calculated,High,Positive,Derived from approval date + 12-yr BPCIA term,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Intellectual Property (p.29),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Calculated: 12-year biologic reference-product exclusivity under BPCIA from 2023-10-27 = 2035-10-27. Company states LOQTORZI qualifies for the 12-year period. Biosimilar entry blocked well beyond 2029 debt maturity."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Composition/method patents & LOE,LOQTORZI (toripalimab-tpzi),2025-12-31,Not disclosed in 10-K,text,Reported,Medium,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Intellectual Property (p.13-15),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"10-K does not list specific LOQTORZI/toripalimab patent numbers, Purple Book entries, or a loss-of-exclusivity year. Regulatory (orphan/BLA) exclusivity is the documented protection; patent-cliff timing not source-verifiable."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - approval & indication,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-04-24,FDA-approved 1L combo + monotherapy for non-keratinizing NPC,text,Reported,High,Negative,Akeso press release; FDA/ASCO coverage,n/a,Akeso FDA approval announcement,https://www.prnewswire.com/news-releases/akeso-announces-fda-approval-for-penpulimab-kcqx-in-two-bla-indications-for-comprehensive-treatment-of-advanced-nasopharyngeal-carcinoma-302437965.html,"Only other FDA-approved PD-1 in NPC. Approved 2025-04-24 for 1L (with cisplatin/carboplatin + gemcitabine) and monotherapy (>=2 prior lines) in non-keratinizing NPC. Trials AK105-304/AK105-202. Directly overlaps LOQTORZI's label."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - U.S. launch status,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-12-31,Not yet launched in the U.S.,text,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company: 'To date, Akeso has not launched penpulimab in the United States.' LOQTORZI retains sole commercial availability for now; launch would erode pricing/share."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - competitive threat level,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-12-31,High,threat level,Orion Analysis,High,Negative,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: highest-priority threat - approved, label-overlapping PD-1 in NPC. Threat is latent until U.S. commercialization; a launch (potentially via a U.S. partner) would introduce direct price/share competition to LOQTORZI's sole revenue stream."
"Coherus Oncology, Inc.",CHRS,Competition,Off-label Competitor,Pembrolizumab (Keytruda) - NPC use & KEYNOTE-122,Pembrolizumab (Merck),2025-12-31,Off-label 2L; KEYNOTE-122 no OS benefit,text,Reported,Medium,Negative,VA drug monograph; Annals of Oncology (KEYNOTE-122),n/a,VA Monograph; KEYNOTE-122 publication,https://www.va.gov/formularyadvisor/DOC_PDF/MON_Toripalimab_LOQTORZI_Monograph_Nasopharyngeal_Carcinoma_Sep_2024.pdf,"Keytruda used off-label in R/M NPC. KEYNOTE-122 (2L monotherapy) ORR 23% vs 26% chemo; OS 17 vs 15 mo - did not improve OS. Not NPC-labeled; large installed base and payer familiarity make it a practical alternative, but LOQTORZI has the on-label / NCCN-preferred edge."
"Coherus Oncology, Inc.",CHRS,Competition,Off-label Competitor,Pembrolizumab - competitive threat level,Pembrolizumab (Merck),2025-12-31,Medium,threat level,Orion Analysis,Medium,Negative,Orion Analysis,n/a,Orion Analysis,https://www.annalsofoncology.org/article/S0923-7534(22)04777-9/fulltext,"Orion Analysis: medium threat - ubiquitous PD-1 with entrenched access, but lacks an NPC label and failed to show OS benefit in KEYNOTE-122, limiting guideline/payer displacement of LOQTORZI."
"Coherus Oncology, Inc.",CHRS,Competition,Class Competitor,Tislelizumab (TEVIMBRA) - class entrant,Tislelizumab (BeiGene),2025-12-31,U.S.-approved in other tumors; NPC-approved in China,text,Reported,Medium,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Named class competitor. U.S.-approved for ESCC/gastric/NSCLC (not NPC); NPC-approved in China. Potential future NPC entrant/off-label pressure; not a current U.S. NPC competitor."
"Coherus Oncology, Inc.",CHRS,Competition,Class Competitor,Other approved PD-1/PD-L1 checkpoint inhibitors,PD-1/PD-L1 class (nivolumab; atezolizumab; durvalumab; cemiplimab; dostarlimab; avelumab),2025-12-31,Approved in other tumor types; potential future NPC use,text,Reported,Low,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company lists Opdivo, Tecentriq, Imfinzi, Libtayo, Jemperli, Bavencio as class competitors. None NPC-labeled today; large well-funded owners could pursue NPC. Low near-term but persistent class threat."
"Coherus Oncology, Inc.",CHRS,Competition,Emerging Competitor,Camrelizumab - emerging PD-1,Camrelizumab (Elevar / Jiangsu Hengrui),2025-12-31,Emerging / in development,text,Reported,Low,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Named as an emerging PD-1 competitor. Not U.S.-approved in NPC; a longer-dated potential entrant."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Government Coverage,Medicare / Medicaid coverage mechanics,LOQTORZI (toripalimab-tpzi),2025-12-31,Covered physician-administered biologic (buy-and-bill),text,Reported,High,Positive,Coherus FY2025 10-K; payer policies,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Government Regulation (p.16-17),https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Physician-administered under Medicare Part B (ASP-based reimbursement; quarterly ASP reporting); subject to Medicaid Drug Rebate Program and 340B ceiling pricing. On-label + NCCN category-1 status underpins Medicare coverage. Broad coverage supports revenue realization."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Commercial Coverage,Commercial-payer coverage,LOQTORZI (toripalimab-tpzi),2025-12-31,Covered as medically necessary (prior auth),text,Reported,High,Positive,Aetna Clinical Policy Bulletin 1049; Moda policy,n/a,Aetna CPB 1049; Moda Health medical criteria,https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Aetna deems toripalimab-tpzi medically necessary for NPC (1L combo and 2L monotherapy) subject to precertification; other payers (e.g., Moda) maintain positive policies. On-label + guideline status drives favorable commercial coverage."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Utilization Management,Reimbursement restrictions,LOQTORZI (toripalimab-tpzi),2025-12-31,Prior authorization / precertification required,text,Reported,Medium,Neutral,Aetna Clinical Policy Bulletin 1049,n/a,Aetna CPB 1049,https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Precertification required (Specialty Pharmacy process). Standard oncology utilization management; label-concordant criteria, no step-through-competitor requirement noted."
