company,ticker,scenario,assessment_type,category,factor,weight,score,weighted_score,rating_or_result,outlook,watch_status,as_of_date,status,rationale,upgrade_trigger,downgrade_trigger,source_name,source_file,source_page_or_section,source_url,calculation_or_assumption,notes
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Reimbursement risk,0.010,2,0.0200,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"On-label, NCCN category-1, no companion diagnostic; favorable Medicare Part B (buy-and-bill) and commercial coverage (prior auth only). Reimbursement is currently a support.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Reimbursement risk,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 2 = 0.0200. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Commercial execution,0.015,3,0.0450,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,"+61% YoY Q1 2026 and record new-patient starts, but first sequential decline (-5% QoQ) and loss of the Chief Commercial Officer (Apr 2025) inject execution risk during the ramp.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Commercial execution,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 3 = 0.0450. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Business Risk,Management and governance,0.010,3,0.0300,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,"CFO continuity (McMichael); routine EY->PwC auditor change with no disagreements; prior inventory-reconciliation material weakness (FY2024) remediated as of 12/31/2025. Adequate but a lean, post-divestiture organization.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Business Risk - Management and governance,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 3 = 0.0300. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Revenue growth,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"LOQTORZI $19.1M (FY2024) -> $40.8M (FY2025, +113%); Q1 2026 +61% YoY. Strong growth off a small base.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Revenue growth,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Gross margin,0.015,3,0.0450,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,FY2025 gross margin ~67% (gross profit $28.4M / revenue $42.2M); Junshi royalty (low-20s% of net sales) is a structural drag on the sole revenue stream.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Gross margin,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 3 = 0.0450. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,EBITDA and operating losses,0.025,5,0.1250,5 (Very weak/distressed),,,2026-03-31,Orion Rating Assessment,Deeply negative: FY2025 GAAP operating loss $181M (incl. non-cash items); Orion Adjusted EBITDA ~-$144M; Q1 2026 operating loss $36.2M. No profitability.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - EBITDA and operating losses,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.025 x score 5 = 0.1250. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Cash-flow generation,0.020,5,0.1000,5 (Very weak/distressed),,,2026-03-31,Orion Rating Assessment,Negative operating cash flow (FY2025 ~-$139M; Q1 2026 ~-$57.9M incl. one-time TSA settlement). No self-funding.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Cash-flow generation,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 5 = 0.1000. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Cash-burn rate,0.025,4,0.1000,4 (Weak),,,2026-03-31,Orion Rating Assessment,Normalized monthly burn ~$6-7M (ex-TSA); high relative to revenue and the cash base.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Cash-burn rate,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.025 x score 4 = 0.1000. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Leverage,0.015,1,0.0150,1 (Strong),,,2026-03-31,Orion Rating Assessment,Net cash: $167.0M cash & marketable securities vs $38.66M term-loan principal (~$51.6M total financial liabilities); net cash ~$128M. Cash covers funded debt ~4.3x.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Leverage,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 1 = 0.0150. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Interest burden,0.010,2,0.0200,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Cash interest ~$4.7M/yr (SOFR+8%, ~11.7-12% all-in, cash-pay, no PIK). Easily covered by cash today but not by EBITDA.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Interest burden,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 2 = 0.0200. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Financial Risk,Capital-market dependence,0.020,4,0.0800,4 (Weak),,,2026-03-31,Orion Rating Assessment,Survival depends on capital-markets access (ATM ~$64.9M program; $50.1M Feb 2026 equity raise at $1.75). Company cannot self-fund at current burn.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Financial Risk - Capital-market dependence,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 4 = 0.0800. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,Current liquidity,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"$167.0M cash & marketable securities at 3/31/2026 vs $15M covenant; MATERIAL FLAG: ~$61.6M is restricted TSA pass-through, so covenant-qualifying cash is materially lower than headline.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - Current liquidity,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,Twelve-month runway,0.025,2,0.0500,2 (Adequate),,,2026-03-31,Orion Rating Assessment,Management represents cash sufficient for at least 12 months; net-cash balance sheet supports the going-concern basis (no going-concern qualification in FY2025 10-K).,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - Twelve-month runway,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.025 x score 2 = 0.0500. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,Minimum-liquidity headroom,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,Indicative headroom ~$152M over the $15M Section 6.16 floor (~11x) on reported cash+MS; headroom is INDICATIVE because the covenant counts only unrestricted cash in controlled Collateral Accounts (TSA sensitivity).,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - Minimum-liquidity headroom,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,External-capital requirements,0.025,3,0.0750,3 (Elevated risk),,,2026-03-31,Orion Rating Assessment,Company needs external capital before maturity but currently holds a large cushion; near-term requirement is low.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - External-capital requirements,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.025 x score 3 = 0.0750. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,Covenant risk,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Only one financial maintenance covenant ($15M minimum liquidity); in full compliance at 3/31/2026, no leverage/coverage/EBITDA test. Covenant-light, low near-term breach risk.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - Covenant risk,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,Refinancing risk,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Small $38.66M interest-only bullet due 2029-05-08; make-whole window expired; step-down prepay premium (5% yr3, 0% after). Small balance, low refinancing risk.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - Refinancing risk,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Liquidity Risk,2029 maturity coverage,0.020,2,0.0400,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Cash ($167M) far exceeds the $38.66M bullet today; maturity (May 2029) precedes both exclusivity cliffs (orphan 2030, BLA 2035), so franchise durability is not the constraint.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Liquidity Risk - 2029 maturity coverage,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.020 x score 2 = 0.0400. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Collateral and lien position,0.015,1,0.0150,1 (Strong),,,2026-03-31,Orion Rating Assessment,First-priority perfected lien on substantially all assets including IP; cash-dominion via deposit-account control; senior to the Coduet royalty via intercreditor. Strong collateral package.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Collateral and lien position,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 1 = 0.0150. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Debt seniority,0.010,1,0.0100,1 (Strong),,,2026-03-31,Orion Rating Assessment,Most senior instrument in the capital structure; only material debt after convertible retirement; RPR is subordinate on collateral.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Debt seniority,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 1 = 0.0100. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Other financial liabilities,0.010,2,0.0200,2 (Adequate),,,2026-03-31,Orion Rating Assessment,Modest: LOQTORZI revenue-participation liability $14.4M net ($16.7M gross) plus ordinary payables; ~$121K convertible stub repaid Apr 2026.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Other financial liabilities,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 2 = 0.0200. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Revenue-participation claims,0.010,2,0.0200,2 (Adequate),,,2026-03-31,Orion Rating Assessment,"Coduet Revenue Participation Right (5.0%/0.5% of U.S. net sales, 2.25x cap) is a senior claim on product cash flows but subordinate to the term loan on collateral via intercreditor.",,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Revenue-participation claims,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 2 = 0.0200. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Enterprise-value coverage,0.010,2,0.0200,2 (Adequate),,,2026-03-31,Orion Rating Assessment,EV ~$87.7M (funded basis) vs $38.66M claim; net-cash balance sheet alone covers the loan. Going-concern EV multiple of the claim.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Enterprise-value coverage,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.010 x score 2 = 0.0200. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
"Coherus Oncology, Inc.",CHRS,Reported,Current/Reported,Structural & Recovery Risk,Estimated recovery,0.015,1,0.0150,1 (Strong),,,2026-03-31,Orion Rating Assessment,Going-concern/solvent repayment implies ~100% recovery on the first-lien bullet; net cash and franchise value both exceed the claim.,,,Orion Analysis,coherus_credit_overview_page.csv; coherus_liquidity.csv; coherus_projections.csv; coherus_valuation.csv; coherus_credit_agreement.csv; coherus_compliance.csv; coherus_industry.csv; coherus_news.csv,Structural & Recovery Risk - Estimated recovery,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,weighted_score = weight 0.015 x score 1 = 0.0150. Factor weights are shown at half scale so the weight column (factor rows + the category weighted-subtotal row) foots to the stated category weight and to 100% overall.,
