company,ticker,alert_id,category,alert_name,description,metric,comparison_operator,warning_threshold,critical_threshold,unit,current_value,base_case_value,variance,as_of_date,status,severity,trend,triggered_date,next_review_date,review_frequency,required_action,owner,source_name,source_file,source_page_or_section,source_url,calculation_or_rule,notes
"Coherus Oncology, Inc.",CHRS,CAP-01,Capital & Refinancing,ATM / equity issuance below required levels,Actual ATM/equity proceeds fall short of the ~$20M/qtr the base case needs to hold the covenant floor.,Equity / ATM proceeds vs required (quarterly),<,20000,10000,USD thousands,Information Unavailable,20000,,2026-07-20,Watch,High,Unknown,,2026-08-14,Quarterly,Track actual ATM utilization / equity issuance each 10-Q and prospectus supplement against the ~$20M/qtr base requirement; a shortfall accelerates the covenant path.,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Equity issuance / ATM proceeds (Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Base models ~$20M/qtr ATM (minimum to hold covenant). Warning if actual proceeds < required.,No mandatory-prepayment sweep on equity proceeds — cash stays with the company. Financing capacity is share-price-sensitive (see CAP-02).
"Coherus Oncology, Inc.",CHRS,CAP-02,Capital & Refinancing,Share-price deterioration affecting financing access,CHRS share price falls to levels that impair ATM capacity (more dilution per dollar) or threaten Nasdaq listing compliance.,CHRS share price (close),<,1.50,1.00,USD per share,1.40,,,2026-07-17,Watch,High,Stable,,2026-08-14,Monthly,Monitor price and 30-day average; below $1.00 raises Nasdaq minimum-bid-price risk and sharply raises dilution to raise the ~$154M needed — reassess ATM feasibility.,Orion Analysis / BBDC Credit,Market data / Orion valuation workbook,coherus_valuation.csv,Company Valuation — Share price (close),https://www.cnn.com/markets/stocks/CHRS,Warning if close < $1.50; critical if < $1.00 (listing/financing stress).,Close $1.40 on 2026-07-17 (prev $1.38); ~154.25M shares; mkt cap ~$215.95M. Low price is the key constraint on ATM-funded survival.
"Coherus Oncology, Inc.",CHRS,CAP-03,Capital & Refinancing,New debt or liens incurred,Coherus incurs new indebtedness or grants liens outside permitted baskets — potential structural subordination or covenant issue.,New debt / liens disclosed,event detected,Permitted baskets only,Non-permitted debt/lien,text,None disclosed,,,2026-07-20,Clear,High,Stable,,2026-08-14,Event-driven,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 6.4-6.6 / SEC filings,coherus_credit_agreement.csv,Permitted Indebtedness / Permitted Liens,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Event: any new debt/lien in 8-K/10-Q. Only Permitted Indebtedness/Liens allowed; term loan is first-lien senior secured.,Convertibles substantially retired (2026 notes ~$0.1M stub repaid Apr 2026); cross-default exposure limited. Large convertible basket (>$350M / 25% mkt cap) is junior/unsecured.
"Coherus Oncology, Inc.",CHRS,CAP-04,Capital & Refinancing,Refinancing requirement increasing,"Projected cash at the May 2029 maturity is insufficient to repay the $38.66M term loan, creating a refinancing need.",2029 refinancing requirement,>,0,38660,USD thousands,0,0,,2026-07-20,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,2029 refinancing requirement / Cash available at maturity,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Refi need = principal not coverable by maturity cash. Base cash at maturity ~$61.4M (>$38.66M) -> 0; Downside -> full $38,660 refi + $222M shortfall.",Base repayment is CONTINGENT on ~$154M cumulative ATM/equity access; Downside implies covenant breach 2027 and distressed refinancing/restructuring.
"Coherus Oncology, Inc.",CHRS,CAP-05,Capital & Refinancing,Maturity within 24 months,The 2029 term loan enters a 24-month-to-maturity window — refinancing planning should be active.,Months to maturity (2029-05-08),<=,24,18,months,33.6,,,2026-07-20,Clear,Low,Stable,,2027-05-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Months to maturity from build date (2026-07-20) ~33.6. Window opens 2027-05-08.,"Interest-only bullet, no amortization; prepayment premium 0% after year 3 (i.e., after 2027-05-08)."
"Coherus Oncology, Inc.",CHRS,CAP-06,Capital & Refinancing,Maturity within 18 months,The 2029 term loan enters an 18-month-to-maturity window.,Months to maturity (2029-05-08),<=,18,12,months,33.6,,,2026-07-20,Clear,Moderate,Stable,,2027-11-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2027-11-08.,Refinancing visibility should be firm by this window absent full cash repayment capacity.
"Coherus Oncology, Inc.",CHRS,CAP-07,Capital & Refinancing,Maturity within 12 months,The 2029 term loan enters a 12-month-to-maturity window — refinancing/repayment plan must be committed.,Months to maturity (2029-05-08),<=,12,6,months,33.6,,,2026-07-20,Clear,High,Stable,,2028-05-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2028-05-08.,Within 12 months the loan is a current maturity for the borrower's going-concern assessment.
"Coherus Oncology, Inc.",CHRS,CAP-08,Capital & Refinancing,Maturity within 6 months,The 2029 term loan enters a 6-month-to-maturity window — escalate to imminent repayment/refinancing execution.,Months to maturity (2029-05-08),<=,6,3,months,33.6,,,2026-07-20,Clear,Critical,Stable,,2028-11-08,Monthly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2028-11-08.,Change-of-control is the only mandatory-prepayment trigger; otherwise repayment is a bullet at 2029-05-08.
"Coherus Oncology, Inc.",CHRS,CAP-09,Capital & Refinancing,Expected recovery falling below 90%,Orion estimated recovery on BBDC's first-lien exposure falls below 90 cents on the dollar.,Estimated recovery on 2029 first-lien term loan,<,90,75,%,100,100,,2026-07-20,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion valuation workbook,coherus_valuation.csv,Recovery — Going Concern / Distressed GC / Liquidation,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Recovery % on the $38.66M first-lien facility. Base/solvent ~100%; Reported ~95-100%; Downside ~58% blended.,First-lien senior-secured on substantially all assets + IP; recovery is scenario-driven. Downside blended ~58% would breach the 90% and 75% tiers.
"Coherus Oncology, Inc.",CHRS,CAP-10,Capital & Refinancing,Expected recovery falling below 75%,Orion estimated recovery falls below 75% — meaningful impairment risk on the first-lien position.,Estimated recovery on 2029 first-lien term loan,<,75,50,%,100,100,,2026-07-20,Clear,High,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion valuation workbook,coherus_valuation.csv,Recovery scenarios,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Warning if recovery < 75%. Downside distressed-GC ~78%, liquidation ~38%, blended ~58%.",Crossed only in the Downside pathway (covenant breach ~Q3 2027 -> restructuring). Tie to CRQ shadow-rating downgrade.
"Coherus Oncology, Inc.",CHRS,CAP-11,Capital & Refinancing,Expected recovery falling below 50%,Orion estimated recovery falls below 50% — approaching a liquidation-style outcome.,Estimated recovery on 2029 first-lien term loan,<,50,38,%,100,100,,2026-07-20,Clear,Critical,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion valuation workbook,coherus_valuation.csv,Recovery — Liquidation,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Warning if recovery < 50%. Downside liquidation floor ~38%.,Only a pure-liquidation Downside (~38%) breaches this tier; blended Downside recovery ~58%.
"Coherus Oncology, Inc.",CHRS,CMP-01,Compliance,Covenant headroom deterioration,"Indicative minimum-liquidity headroom deteriorates materially quarter-over-quarter (trend monitor, complements the absolute LIQ-04 threshold).",QoQ change in indicative covenant headroom,<,-10000,-25000,USD thousands,152048,144602,-7446,2026-03-31,Clear,Moderate,Deteriorating,,2026-08-14,Quarterly,Track QoQ headroom change each quarter; a decline faster than the ~$10M warning threshold (vs the ~$7.4M modeled base burn) signals accelerating stress — investigate drivers.,Orion Analysis / BBDC Credit,Orion compliance/liquidity workbook,coherus_compliance.csv,Minimum Liquidity — indicative headroom,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Base headroom declines ~$7.4M from 152,048 (Q1'26) to 144,602 (Q2'26) before financing. Warning if QoQ decline > $10M.",Structural deterioration is expected (cash-burning borrower); the alert is for acceleration beyond the modeled burn. Distinct from the legal breach (CMP-06).
"Coherus Oncology, Inc.",CHRS,CMP-02,Compliance,Compliance certificate overdue,A Responsible-Officer compliance certificate is not delivered within 5 business days of the quarterly/annual financial delivery.,Compliance certificate delivery,date approaching,With each 10-Q/10-K (+5 bus. days),Overdue,date,Delivered with Q1 2026 financials,,,2026-03-31,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 5.2(a)(iii),coherus_compliance.csv,Compliance Certificate,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Certificate due within 5 business days of each quarterly/annual financial delivery. Next: Q2 2026 (~2026-08-14).,No default reported to date; certificate is the formal covenant-compliance representation each period.
"Coherus Oncology, Inc.",CHRS,CMP-03,Compliance,10-Q or 10-K filing overdue,A required 10-Q (45 days) or 10-K (90 days) is not filed by its deadline (EDGAR filing = deemed delivery under the loan).,Days to periodic-filing deadline,date approaching,Deadline approaching,Past deadline,date,Q1 2026 10-Q filed 2026-05-11 (timely),,,2026-03-31,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 5.2(a),coherus_compliance.csv,Reporting Requirements,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,"Q2 2026 10-Q due within 45 days of 2026-06-30 = 2026-08-14. Late filing = reporting-covenant default (core, no cure).",History of timely filing. Watch for any NT 10-Q/NT 10-K (Rule 12b-25) as an early signal.
"Coherus Oncology, Inc.",CHRS,CMP-04,Compliance,Required lender notice,"A required written notice to the lender (Default/EoD, ERISA event, Material Adverse Change within 5 business days; litigation/FDA prompt) is triggered.",Lender-notice trigger event,event detected,Notice event occurs,Notice not given in window,text,None disclosed,,,2026-07-20,Clear,Moderate,Stable,,2026-08-14,Event-driven,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 5.2(b)-(c),coherus_compliance.csv,Notice Requirements,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Event: any Default/ERISA/MAC (5 bus. days) or material litigation/FDA matter (prompt). Monitor 8-K/press flow.,A missing notice is itself a covenant issue; watch for FDA actions or material litigation touching LOQTORZI.
"Coherus Oncology, Inc.",CHRS,CMP-05,Compliance,Potential event of default,"Facts emerge that could constitute an Event of Default (incl. a Material Adverse Change, which is a standalone EoD given the thin covenant package).",Potential Event of Default,event detected,Potential EoD facts,EoD declared,text,No default (compliant at 2026-03-31),,,2026-03-31,Clear,High,Stable,,2026-08-14,Event-driven,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 7.1-7.10,coherus_compliance.csv,Events of Default,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Core-covenant breaches have NO cure period; MAC is a standalone EoD; voluntary bankruptcy auto-accelerates.,"MAC is the practical early lever since there is no performance covenant. No EoD at 9/30/25, 12/31/25 or 3/31/26."
"Coherus Oncology, Inc.",CHRS,CMP-06,Compliance,Covenant breach (minimum liquidity),"LEGAL breach of the sole financial covenant: qualifying (unrestricted, controlled-account) cash below $15,000K at any time.",Minimum-liquidity covenant (qualifying cash vs $15M floor),<,15000,15000,USD thousands,166058,159602,,2026-03-31,Clear,Critical,Stable,,2026-08-14,Continuous,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 6.16,coherus_compliance.csv,Financial Covenant — Minimum Liquidity,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,"Breach when qualifying cash < 15,000 (continuous test, core covenant, NO cure period). LEGAL breach line — distinct from Orion early-warning LIQ-04/LIQ-05.",Base holds >$15M through 2029 (contingent on ~$154M ATM); Downside breaches ~Q3 2027. TSA sensitivity moves breach ~2 qtrs earlier. Company reported full compliance at 3/31/26.
"Coherus Oncology, Inc.",CHRS,CMP-07,Compliance,Waiver or amendment disclosed,A waiver or amendment to the 2029 Loan Agreement is disclosed — often a sign of covenant stress or negotiated relief.,Loan waiver / amendment,event detected,Amendment/waiver disclosed,Waiver of a breach,text,None disclosed (no term-loan amendments/waivers),,,2026-03-31,Clear,Moderate,Stable,,2026-08-14,Event-driven,,Orion Analysis / BBDC Credit,Q1 2026 10-Q Note 8 / SEC filings,coherus_compliance.csv,Current Status — waivers/amendments,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Event: any disclosed amendment/waiver to the 2029 term loan.,Only amendment to date is the June 2024 royalty Omnibus (not a term-loan amendment). A future covenant waiver would be a material negative signal.
"Coherus Oncology, Inc.",CHRS,CRQ-01,Credit Quality,Shadow-rating downgrade,Orion issuer or loan shadow rating is lowered from the current B- issuer / B+ loan.,Orion shadow rating (issuer / loan),event detected,Downgrade below B- issuer / B+ loan,Downgrade to CCC category,text,B- issuer / B+ loan,B- issuer / B+ loan,,2026-07-20,Clear,High,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion shadow-rating workbook,coherus_shadow_rating.csv,Overall credit conclusion (Reported/Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Downgrade trigger = ATM/equity access closing or covenant path materializing -> Downside CCC issuer / CCC+ loan.,"Current: B- issuer / B+ loan, Stable, Heightened Monitoring. Upside -> B / BB-. Not an S&P/Moody's/Fitch rating."
"Coherus Oncology, Inc.",CHRS,CRQ-02,Credit Quality,Negative outlook,Orion rating outlook moves to Negative from the current Stable.,Orion rating outlook,event detected,Outlook to Negative,Negative + downgrade,text,Stable (Heightened Monitoring),Stable,,2026-07-20,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion shadow-rating workbook,coherus_shadow_rating.csv,Rating outlook,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Outlook flips to Negative in the Downside scenario.,Already on Heightened Monitoring given the liquidity/ATM dependency; a formal Negative outlook would follow evidence of impaired capital access.
