published_date,event_date,company,ticker,headline,source_name,category,affected_entity_or_product,summary,affected_metric_or_risk,credit_impact,importance,time_horizon,orion_interpretation,monitoring_action,status,source_file,source_url,notes
2024-08-08,2024-08-01,"Coherus BioSciences, Inc.",CHRS,"Bryan McMichael appointed CFO effective August 1, 2024",Coherus 8-K / IR,Management,Coherus BioSciences,"Bryan McMichael was appointed permanent CFO effective 2024-08-01, succeeding McDavid Stilwell (departed 12/31/2023). McMichael had served as interim principal financial officer and held finance roles at Coherus since March 2021 (prior Gilead, NetApp; CPA).",Management stability; financial reporting,Neutral,Medium,Near Term,Resolves an interim-CFO gap during the strategic transformation. Continuity from an internal appointment is modestly stabilizing for financial oversight; neutral for the credit.,Monitor finance-team stability and reporting quality,Archived,,https://investors.coherus.com/news-releases/news-release-details/coherus-biosciences-announces-cfo-transition-plans/,8-K filed 2024-08-08 (accession 0001558370-24-011618).
2024-08-08,2024-06-30,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q2 2024 results; LOQTORZI net sales $3.8M, cash $159.2M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Q2 2024 LOQTORZI net product revenue was $3.8M; the product became orderable at all 33 NCCN institutions. Cash and investments were $159.2M at 6/30/2024. A $12.5M Junshi regulatory milestone was paid in H1 2024.,Revenue; liquidity,Neutral,Medium,Near Term,Sequential growth (+90% QoQ off a tiny base) is encouraging but absolute dollars remain small. Cash step-down reflects debt repayment and burn. Neutral.,Track sequential LOQTORZI ramp and cash burn rate,Archived,02_Earnings/releases/2024-08-08_CHRS_ER_Q2-2024.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837024011618/chrs-20240807xex99d1.htm,
2024-08-08,2024-08-08,"Coherus BioSciences, Inc.",CHRS,Omnibus amendment to Barings term loan / royalty transaction documents,Coherus 10-Q (EX-10.31),Financing,2029 Term Loan (Barings) + Revenue Participation Right,"Coherus and the Barings lenders executed an omnibus amendment to the May 2024 term-loan and Revenue Participation Right transaction documents, filed with the Q2 2024 10-Q.",Covenant terms; refinancing risk,Neutral,Low,Long Term,"Routine documentation amendment; no disclosed change to size or maturity. Neutral, but confirms the value of tracking amendments to the BBDC-held facility.",Review amendment terms for any covenant or economic changes,Archived,03_Credit_Docs/2024-08-08_CHRS_EX10-31_Omnibus-Amendment-Transaction-Docs.pdf,https://www.sec.gov/Archives/edgar/data/0001512762/000155837024011629/chrs-20240630xex10d4.htm,
2024-11-06,2024-09-30,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q3 2024 results; LOQTORZI net sales $5.8M (+54% QoQ), cash $97.7M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),"Q3 2024 LOQTORZI net product revenue was $5.8M, up ~54% QoQ, with treated patients up ~60% and ~80% of NCCN institutions having prescribed. Cash and investments declined to $97.7M at 9/30/2024.",Revenue; liquidity,Neutral,Medium,Near Term,"Accelerating adoption is a positive commercial signal, but the cash balance falling below $100M underscores burn ahead of the UDENYCA proceeds. Net neutral.",Track LOQTORZI growth and cash runway into the UDENYCA close,Archived,02_Earnings/releases/2024-11-06_CHRS_ER_Q3-2024.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837024014642/chrs-20241106xex99d1.htm,
2024-11-26,2024-11-26,"Coherus Oncology, Inc.",CHRS,NCCN names toripalimab plus chemotherapy the sole preferred Category 1 first-line NPC regimen (v1.2025),NCCN; oncology press,Reimbursement,LOQTORZI (toripalimab-tpzi),The NCCN NPC guideline (v1.2025) established toripalimab plus gemcitabine/cisplatin as the standalone preferred Category 1 first-line regimen and the only preferred subsequent-line option after platinum therapy.,Product adoption; payer coverage,Positive,Medium,Near Term,"Category 1 preferred status is a strong adoption and reimbursement anchor that underpins payer coverage and prescriber uptake, supporting the revenue ramp that services the debt.",Track whether guideline status translates into continued share/coverage gains,Monitoring,,https://www.oncnursingnews.com/view/nccn-updates-guidelines-for-preferred-frontline-regimen-for-advanced-nasopharyngeal-carcinoma,Initial NCCN Category 1 preferred inclusion was announced 2023-12-11.
2024-12-03,2024-12-02,"Coherus BioSciences, Inc.",CHRS,Coherus agrees to divest UDENYCA franchise to Intas/Accord for up to $558.4M,Coherus IR (GlobeNewswire),Liquidity,UDENYCA (pegfilgrastim) franchise,"Coherus agreed to sell its UDENYCA (pegfilgrastim biosimilar) franchise, its last biosimilar, to Intas Pharmaceuticals (U.S. arm Accord BioPharma) for up to $558.4M: $483.4M upfront (including $118.4M inventory) plus up to $75M sales milestones. Proceeds earmarked to repay the ~$230M 2026 convertible notes and buy out the Coduet royalty; company guided to post-close cash of ~$250M and runway exceeding two years.",Liquidity runway; leverage; revenue base,Positive,Critical,Near Term,"Transformational deleveraging event: funds the substantially full retirement of the convertible notes and leaves the ~$37M Barings term loan as essentially the only material debt, sharply improving the near-term credit profile. Trade-off is that it reduces Coherus to a single commercial product (LOQTORZI).","Monitor deal close, use of proceeds (note repayment, royalty buyout) and pro-forma cash",Resolved,,https://www.globenewswire.com/news-release/2024/12/03/2990450/33333/en/Coherus-Announces-Agreement-to-Divest-UDENYCA-Franchise-for-up-to-558-million-to-Intas-Pharmaceuticals-Ltd.html,Asset purchase agreement dated 2024-12-02; special-meeting proxy (DEFM14A) filed Jan 2025; closed 2025-04-11.
2024-12-20,2024-12-20,"Coherus Oncology, Inc.",CHRS,Coherus initiates new casdozokitug Phase 2 in HCC substituting toripalimab (NCT06679985),Coherus FY2025 10-K; ClinicalTrials.gov,Clinical,Casdozokitug (CHS-388) pipeline,"Coherus began a new Phase 2 study of casdozokitug combined with toripalimab and bevacizumab in first-line HCC (NCT06679985), replacing atezolizumab with its own PD-1. Enrollment later reported complete by Q1 2026 with a first readout guided to mid-2026.",Pipeline optionality; R&D spend,Neutral,Low,Long Term,"Advances pipeline optionality using an in-house asset (lower long-run cost), but adds R&D cash burn near term. Not part of the debt-repayment thesis; the mid-2026 readout is a potential equity catalyst.",Watch casdozokitug HCC Phase 2 readout (guided mid-2026),Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://clinicaltrials.gov/study/NCT06679985,
2025-01-13,2025-01-13,"Coherus Oncology, Inc.",CHRS,Coherus issues preliminary 2024 results; LOQTORZI FY2024 net sales ~$19.1M,Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),"Coherus released preliminary full-year 2024 results ahead of the J.P. Morgan conference, indicating LOQTORZI FY2024 net product revenue of ~$19.1M and reiterating the pending UDENYCA divestiture and pipeline priorities.",Revenue,Positive,Low,Near Term,"Confirms LOQTORZI roughly reached the high-teens millions in its first year, validating the launch curve. Limited incremental credit impact.",Compare to audited FY2024 results,Archived,02_Earnings/releases/2025-01-13_CHRS_ER_Jan-Prelim-Guidance-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025000167/chrs-20250113xex99d1.htm,
2025-03-10,2024-12-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports FY2024 results; LOQTORZI net sales $19.1M, cash $126.0M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Full-year 2024 LOQTORZI net product revenue was $19.1M. Cash and investments were $126.0M at 12/31/2024; convertible notes carrying value was $228.2M pending the UDENYCA-funded repayment.,Revenue; liquidity; leverage,Neutral,Medium,Near Term,First full commercial year established a ~$19M base. The still-outstanding ~$228M convertibles kept leverage elevated pending the UDENYCA close. Neutral into the transformational Q2 2025 events.,Track LOQTORZI FY growth and execution of note repayment,Archived,02_Earnings/releases/2025-03-10_CHRS_ER_FY-Results-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025002595/chrs-20250310xex99d1.htm,File named 'FY-Results-2025' but reports FY2024.
2025-03-10,2024-12-31,"Coherus Oncology, Inc.",CHRS,Material weakness in internal controls over inventory account reconciliations (as of 12/31/2024),Coherus FY2024 10-K; FY2025 10-K,Auditor,"Coherus Oncology, Inc.",Coherus disclosed in its FY2024 10-K that internal control over financial reporting was not effective as of 2024-12-31 due to a material weakness in the operating effectiveness of procedures for the documentation and review of certain inventory account reconciliations. The deficient control was decommissioned concurrent with the UDENYCA sale (closed 2025-04-11); management concluded ICFR was effective as of 2025-12-31 (FY2025 10-K). It was reaffirmed as a prior reportable event in the June 2026 auditor-change 8-K.,Financial reporting reliability; controls,Negative,Medium,Near Term,"A material weakness is a genuine reporting-reliability negative, but it was confined to inventory reconciliations on the since-divested biosimilar (UDENYCA) business, the control was decommissioned with that sale, and ICFR was concluded effective as of 12/31/2025. Contained and effectively resolved; the residual question is whether the new auditor (PwC) concurs.",Confirm PwC validates remediation and that no related weakness recurs in FY2026 controls,Resolved,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Originally disclosed in the FY2024 10-K (ICFR not effective as of 12/31/2024); resolved as of 12/31/2025 per FY2025 10-K; deliberately not dated to the June 2026 auditor change.
2025-04-01,2025-03-31,"Coherus Oncology, Inc.",CHRS,Coherus executes First Supplemental Indenture and announces ~$170M repurchase of 2026 convertible notes,Coherus 8-K (EX-4.1); IR,Financing,1.50% Convertible Senior Subordinated Notes due 2026,"Coherus executed a First Supplemental Indenture (consent solicitation) amending the merger/asset-transfer covenant so the UDENYCA sale would not trigger default, and announced a privately negotiated repurchase of ~$170M of its 1.50% convertible notes due 2026 at par plus accrued interest, contingent on the UDENYCA close.",Leverage; refinancing risk,Positive,High,Near Term,Major deleveraging step that clears the largest debt maturity ahead of schedule. Removing the 2026 convertible wall materially de-risks the capital structure and elevates the relative standing of the Barings term loan (BBDC's instrument).,Confirm completion of note repurchase and residual balance,Resolved,03_Credit_Docs/2025-04-01_CHRS_EX4-7_First-Supplemental-Indenture-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004264/chrs-20250331x8k.htm,"Original notes: $230M 1.50% due 2026-04-15, issued 2020."
2025-04-14,2025-04-11,"Coherus Oncology, Inc.",CHRS,Coherus completes UDENYCA divestiture ($483.4M upfront) and buys out Coduet royalty (~$47.7M),Coherus 8-K / IR (GlobeNewswire),Liquidity,UDENYCA franchise; Revenue Participation Right,"The UDENYCA sale to Intas closed 2025-04-11 with $483.4M upfront received (plus up to $75M milestones). Coherus bought out the Coduet Revenue Participation Right for ~$47.7M as actually recorded (announced pro-forma figure $49.1M). The company exited biosimilars, becoming a pure oncology company.",Liquidity runway; leverage; enterprise value,Positive,Critical,Near Term,"Delivers the cash that funds substantially full convertible-note retirement and removes the LOQTORZI/UDENYCA royalty burden, cleaning up the capital structure around the Barings term loan. Strongly credit-positive near term; the offset is total reliance on LOQTORZI going forward.",Verify pro-forma cash (~$250M) and full note retirement in Q2 2025 filings,Resolved,,https://www.globenewswire.com/news-release/2025/04/14/3060846/33333/en/Coherus-Completes-Strategic-Transformation-with-Successful-Divestiture-of-UDENYCA-Franchise.html,8-K filed 2025-04-14 (accession 0001558370-25-004746). Royalty buyout $47.7M paid vs $49.1M announced.
2025-04-22,2025-04-16,"Coherus Oncology, Inc.",CHRS,"Chief Commercial Officer Paul Reider resigns effective April 30, 2025",Coherus 8-K (Item 5.02),Management,Coherus Oncology commercial leadership,"Paul Reider resigned as Chief Commercial Officer effective 2025-04-30, following the UDENYCA divestiture and not due to any disagreement. Severance included 12 months base-salary continuation, extended equity vesting through 12/31/2026 and a part-time advisory role through 4/30/2026.",Commercial execution; management stability,Negative,Medium,Near Term,"Loss of the top commercial executive during the critical LOQTORZI ramp introduces execution risk to the sole revenue stream, though it partly reflects the smaller post-divestiture organization. Mildly credit-negative.",Monitor commercial leadership backfill and any LOQTORZI sales disruption,Monitoring,01_Filings/8K/2025-04-22_CHRS_8K_items-5-02.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025005157/chrs-20250416x8k.htm,8-K accession 0001558370-25-005157 (chrs-20250416x8k).
2025-04-25,2025-04-23,"Akeso, Inc. / Chia Tai Tianqing",AKESO,FDA approves Akeso's penpulimab-kcqx for non-keratinizing nasopharyngeal carcinoma,FDA; Akeso press release,Competition,Penpulimab-kcqx (competitor to LOQTORZI),"The FDA approved penpulimab-kcqx (Akeso/Chia Tai Tianqing) in two NPC indications directly overlapping LOQTORZI: first-line non-keratinizing recurrent/metastatic NPC with platinum plus gemcitabine, and monotherapy for metastatic non-keratinizing NPC after platinum and at least one prior line. Per Coherus's FY2025 10-K, Akeso had not launched penpulimab in the U.S. as of that filing.",Revenue; pricing power; product adoption,Negative,High,Near Term,"The first approved, label-overlapping PD-1 rival in NPC. The threat is latent while unlaunched, but a U.S. commercialization (likely via a partner) would introduce direct price and share competition to LOQTORZI's sole revenue stream and pressure the ramp the credit relies on.","Watch for a penpulimab U.S. launch, pricing and commercial partner",Monitoring,,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-penpulimab-kcqx,FDA snapshot date 2025-04-23; Akeso PR 2025-04-25. Not launched in U.S. per Coherus FY2025 10-K.
2025-04-25,2025-04-22,"Coherus Oncology, Inc.",CHRS,Director Mark Stolper to step down; board reduced to nine directors,Coherus 8-K (Item 5.02),Management,Coherus Oncology board of directors,"Director Mark D. Stolper notified the board he would not stand for re-election (departing at the 2025 Annual Meeting, with consulting support through 12/31/2026). The board reclassified two directors and reduced its size from ten to nine. CEO Dennis Lanfear signed as CEO.",Governance,Neutral,Low,Long Term,Routine board downsizing consistent with the smaller post-divestiture company; no indication of a governance dispute. Neutral for the credit.,Monitor board composition and governance continuity,Archived,01_Filings/8K/2025-04-25_CHRS_8K_items-5-02.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025005554/chrs-20250422x8k.htm,8-K accession 0001558370-25-005554 (chrs-20250422x8k).
2025-08-07,2025-06-30,"Coherus Oncology, Inc.",CHRS,Coherus substantially retires 2026 convertible notes; ~$121K principal stub remains,Coherus Q2 2025 10-Q; Q1 2026 10-Q (Note 8),Financing,1.50% Convertible Senior Subordinated Notes due 2026,"After the $170.0M April 2025 repurchase, Coherus repurchased a further $59.9M of the 2026 convertible notes in May 2025 via a fundamental-change repurchase offer triggered by the UDENYCA sale. The balance-sheet convertible line printed as nil (dash) from 6/30/2025, but a ~$121K ($0.1M) principal stub remained outstanding through 3/31/2026 and was repaid in April 2026. Total cash used ~$233.2M with a ~$17.6M loss on extinguishment; carrying value was $228.2M at 12/31/2024.",Leverage; refinancing risk,Positive,High,Near Term,"Substantially completes the deleveraging: the company is left with essentially one material debt instrument (the Barings/BBDC term loan due 2029) plus an immaterial ~$121K convertible stub, and a net-cash balance sheet, sharply lowering near-term default and refinancing risk.",Confirm the ~$121K convertible stub was repaid (April 2026) and the ~$37M 2029 term loan is the sole material debt,Resolved,01_Filings/10Q/2025-08-07_CHRS_10Q_Q2-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630x10q.htm,Residual $121K principal per Note 8 remained through Q1 2026 and was repaid April 2026; balance-sheet line rounded to nil from 6/30/2025.
2025-05-12,2025-03-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q1 2025 results; LOQTORZI net sales $7.3M, cash $82.4M (pre-UDENYCA proceeds)",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Q1 2025 LOQTORZI net product revenue was $7.3M (dollars roughly flat QoQ on gross-to-net/inventory timing though underlying demand grew ~15%). Cash and investments were $82.4M at 3/31/2025; the $483.4M UDENYCA upfront was received just after quarter-end in April.,Revenue; liquidity,Neutral,Medium,Near Term,"A flat revenue quarter shows small-base lumpiness, but the post-quarter UDENYCA cash inflow removed the near-term liquidity concern implied by the $82.4M balance. Neutral.",Track LOQTORZI demand vs reported net sales and gross-to-net dynamics,Archived,02_Earnings/releases/2025-05-12_CHRS_ER_Q1-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025007410/chrs-20250512xex99d1.htm,
2025-05-30,2025-05-29,"Coherus Oncology, Inc.",CHRS,"Coherus BioSciences renames to Coherus Oncology, Inc. (ticker unchanged)",Coherus 8-K (Item 5.03) / IR,Management,"Coherus Oncology, Inc.","Effective 2025-05-29, the company changed its name from Coherus BioSciences, Inc. to Coherus Oncology, Inc. via a Delaware certificate amendment (no stockholder vote required). Ticker (CHRS), CUSIP and legal entity were unchanged.",Corporate identity,Neutral,Low,Long Term,Cosmetic completion of the biosimilar-to-oncology pivot; no change to obligations or entity. Neutral for the credit but confirms the single-franchise strategy.,None material,Archived,,https://www.sec.gov/Archives/edgar/data/1512762/000155837025008294/chrs-20250529x8k.htm,8-K accession 0001558370-25-008294.
2025-07-04,2025-07-04,"Coherus Oncology, Inc.",CHRS,One Big Beautiful Bill Act Medicaid changes flagged as a potential headwind to LOQTORZI sales,Coherus FY2025 10-K (Risk Factors),Regulatory,LOQTORZI (toripalimab-tpzi),"Coherus's FY2025 10-K identifies the July 2025 One Big Beautiful Bill Act's Medicaid provisions, alongside IRA Medicare price-negotiation/inflation-rebate rules, as healthcare-reform developments that 'could adversely affect' LOQTORZI sales.",Revenue; reimbursement,Negative,Medium,Long Term,A policy-level pricing/coverage risk rather than a specific action against LOQTORZI. Potential Medicaid coverage/volume pressure over time; not an immediate revenue hit. LOQTORZI is not IRA negotiation-eligible near term (biologic licensed 10/2023).,Monitor Medicaid rule implementation and any LOQTORZI coverage changes,Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,IRA Medicare negotiation eligibility does not arise until 11+ years post-licensure.
2025-08-07,2025-06-30,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q2 2025 results; LOQTORZI net sales $10.0M, cash $237.6M, net cash balance sheet",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Q2 2025 LOQTORZI net product revenue was $10.0M (+36% QoQ). Cash and investments were $237.6M at 6/30/2025 following UDENYCA proceeds and note retirement; convertibles $0 and only the ~$36.9M term loan outstanding. Management cited runway through 2026 beyond key data readouts.,Revenue; liquidity; leverage,Positive,High,Near Term,"Best-positioned quarter of the period: strong sequential growth, net-cash balance sheet and minimal debt. Materially reduces near-term credit risk on the Barings term loan.",Track continued LOQTORZI growth and cash burn against the stated runway,Monitoring,02_Earnings/releases/2025-08-07_CHRS_ER_Q2-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010802/chrs-20250807xex99d1.htm,
