period,period_type,metric,value,value_text,unit,source_id,notes
Q2 2025,Quarterly,Fee & Other Income,4.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Fee & Other Income,4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Fee & Other Income,5.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Fee & Other Income,2.7,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,PIK Interest Income,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,PIK Interest Income,4.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,PIK Interest Income,3.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,PIK Interest Income,4.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,PIK Interest Income,4.5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,PIK Interest Income,5.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,PIK Interest Income,5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,PIK Interest Income,4.6,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Interest Income from Cash,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Interest Income from Cash,0.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Interest Income from Cash,0.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Interest Income from Cash,0.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Interest Income from Cash,0.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Interest Income from Cash,0.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Interest Income from Cash,0.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Interest Income from Cash,0.2,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Total Investment Income,74.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Total Investment Income,70.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Total Investment Income,70.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Total Investment Income,64.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Total Investment Income,74.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Total Investment Income,72.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Total Investment Income,68,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Total Investment Income,60.6,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Interest & Other Financing Fees,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Interest & Other Financing Fees,22.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Interest & Other Financing Fees,21.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Interest & Other Financing Fees,20.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Interest & Other Financing Fees,22.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Interest & Other Financing Fees,21.5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Interest & Other Financing Fees,21.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Interest & Other Financing Fees,18.9,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Base Management Fee,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Base Management Fee,8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Base Management Fee,7.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Base Management Fee,8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Base Management Fee,8.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Base Management Fee,8.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Base Management Fee,8.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Base Management Fee,8.3,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Incentive Management Fees,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Incentive Management Fees,6.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Incentive Management Fees,7.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Incentive Management Fees,7.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Incentive Management Fees,11.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Incentive Management Fees,5.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Incentive Management Fees,7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Incentive Management Fees,4.7,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,General & Administrative,,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,General & Administrative,2.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,General & Administrative,2.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,General & Administrative,1.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,General & Administrative,2.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,General & Administrative,1.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,General & Administrative,1.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,General & Administrative,2.3,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Total Operating Expenses,32.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Total Operating Expenses,39.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Total Operating Expenses,39.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Total Operating Expenses,37.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Total Operating Expenses,43.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Total Operating Expenses,37.5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Total Operating Expenses,38.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Total Operating Expenses,34.3,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Income Taxes (incl. excise),,n/a,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Income Taxes (incl. excise),1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Income Taxes (incl. excise),1.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Income Taxes (incl. excise),0.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Income Taxes (incl. excise),0.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Income Taxes (incl. excise),1.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Income Taxes (incl. excise),1.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Income Taxes (incl. excise),0.4,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Net Investment Income,42.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Net Investment Income,30.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Net Investment Income,29.5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Net Investment Income,26.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Net Investment Income,29.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Net Investment Income,33.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Net Investment Income,28,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Net Investment Income,25.9,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Net Realized Gains/(Losses),7.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Net Realized Gains/(Losses),-10.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Net Realized Gains/(Losses),-13.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Net Realized Gains/(Losses),-1.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Net Realized Gains/(Losses),-15.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Net Realized Gains/(Losses),-1.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Net Realized Gains/(Losses),-5.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Net Realized Gains/(Losses),-10.8,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Net Unrealized Appr./(Depr.),-30.1,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Net Unrealized Appr./(Depr.),2.7,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Net Unrealized Appr./(Depr.),9.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Net Unrealized Appr./(Depr.),7.3,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Net Unrealized Appr./(Depr.),5.9,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Net Unrealized Appr./(Depr.),-8.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Net Unrealized Appr./(Depr.),2.5,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Net Unrealized Appr./(Depr.),4.9,,USD millions,Q1_2026_10Q,
Q2 2024,Quarterly,Net Increase in Net Assets from Operations,19.4,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2024,Quarterly,Net Increase in Net Assets from Operations,22,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2024,Quarterly,Net Increase in Net Assets from Operations,24.8,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2025,Quarterly,Net Increase in Net Assets from Operations,32.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q2 2025,Quarterly,Net Increase in Net Assets from Operations,20.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q3 2025,Quarterly,Net Increase in Net Assets from Operations,23.6,,USD millions,BBDC_QUARTERLY_RELEASES,
Q4 2025,Quarterly,Net Increase in Net Assets from Operations,25.2,,USD millions,BBDC_QUARTERLY_RELEASES,
Q1 2026,Quarterly,Net Increase in Net Assets from Operations,20,,USD millions,Q1_2026_10Q,
FY 2023,Annual,Total Investment Income,289.1,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Total Investment Income,286.2,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Total Investment Income,279.2,,USD millions,FY2025_10K,
FY 2023,Annual,Interest & Other Financing Fees,,n/a,USD millions,FY2023_RESULTS,
FY 2024,Annual,Interest & Other Financing Fees,85.5,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Interest & Other Financing Fees,85.1,,USD millions,FY2025_10K,
FY 2023,Annual,Base Management Fee,,n/a,USD millions,FY2023_RESULTS,
FY 2024,Annual,Base Management Fee,32.4,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Base Management Fee,33.2,,USD millions,FY2025_10K,
FY 2023,Annual,Incentive Management Fees,,n/a,USD millions,FY2023_RESULTS,
FY 2024,Annual,Incentive Management Fees,23.8,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Incentive Management Fees,31.5,,USD millions,FY2025_10K,
FY 2023,Annual,General & Administrative,,n/a,USD millions,FY2023_RESULTS,
FY 2024,Annual,General & Administrative,9.8,,USD millions,FY2024_RESULTS,
FY 2025,Annual,General & Administrative,7.8,,USD millions,FY2025_10K,
FY 2023,Annual,Total Operating Expenses,160,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Total Operating Expenses,151.5,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Total Operating Expenses,157.6,,USD millions,FY2025_10K,
FY 2023,Annual,Net Investment Income,127.8,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Net Investment Income,131.2,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Net Investment Income,117.8,,USD millions,FY2025_10K,
FY 2023,Annual,NII per Share,1.18,,USD/share,FY2023_RESULTS,
FY 2024,Annual,NII per Share,1.24,,USD/share,FY2024_RESULTS,
FY 2025,Annual,NII per Share,1.12,,USD/share,FY2025_10K,
FY 2023,Annual,Net Realized Gains/(Losses),-62.8,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Net Realized Gains/(Losses),-38.1,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Net Realized Gains/(Losses),-22.7,,USD millions,FY2025_10K,
FY 2023,Annual,Net Unrealized Appr./(Depr.),62.6,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Net Unrealized Appr./(Depr.),17.2,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Net Unrealized Appr./(Depr.),6.9,,USD millions,FY2025_10K,
FY 2023,Annual,Net Increase in Net Assets from Operations,128,,USD millions,FY2023_RESULTS,
FY 2024,Annual,Net Increase in Net Assets from Operations,110.3,,USD millions,FY2024_RESULTS,
FY 2025,Annual,Net Increase in Net Assets from Operations,101.9,,USD millions,FY2025_10K,
FY 2023,Annual,Net Increase per Share,1.19,,USD/share,FY2023_RESULTS,
FY 2024,Annual,Net Increase per Share,1.04,,USD/share,FY2024_RESULTS,
FY 2025,Annual,Net Increase per Share,0.97,,USD/share,FY2025_10K,
